"State/UT,Total Schools - All management,Total Schools - Govt.,Total Schools - Pvt. aided,Total Schools - Pvt. unaided,Total Schools - Others,Schools with functional computer facility - All management,Schools with functional computer facility - Govt.,Schools with functional computer facility - Pvt. aided,Schools with functional computer facility - Pvt. unaided,Schools with functional computer facility - Others,% of Schools with functional computer facility - All management,% of Schools with functional computer facility - Govt.,% of Schools with functional computer facility - Pvt. aided,% of Schools with functional computer facility - Pvt. unaided,% of Schools with functional computer facility - Others"
"India,1489115,1022386,82480,335844,48405,682566,366368,55696,241836,18669,45.8,35.8,67.5,71.9,39"
"Andaman and Nicobar Islands,416,342,2,72,0,275,203,2,70,0,66.1,59.4,100,97.2,0"
"Andhra Pradesh,61948,45137,1542,15058,211,29654,14739,492,14300,123,47.9,32.7,31.9,95,58.3"
"Arunachal Pradesh,3603,2985,68,503,47,1161,621,64,442,34,32.2,20.8,94.1,87.9,72.3"
"Assam,60859,45490,3841,5852,5676,9906,6306,299,3162,133,16.3,13.9,7.8,54,2.3"
"Bihar,93165,75558,742,8097,8768,17090,6472,150,5717,4751,18.3,8.6,20.2,70.6,54.2"
"Chandigarh,233,123,7,76,27,232,123,7,76,26,99.6,100,100,100,96.3"
"Chhattisgarh,56512,48743,417,7063,289,46777,41154,203,5310,110,82.8,84.4,48.7,75.2,38.1"
"Dadra and Nagar Haveli and Daman and Diu,460,388,8,63,1,409,340,8,60,1,88.9,87.6,100,95.2,100"
"Delhi,5619,2762,247,2610,0,5619,2762,247,2610,0,100,100,100,100,0"
"Goa,1510,814,557,139,0,822,165,524,133,0,54.4,20.3,94.1,95.7,0"
"Gujarat,53851,34699,5590,13559,3,52664,34074,5543,13044,3,97.8,98.2,99.2,96.2,100"
"Haryana,23726,14562,16,8261,887,17744,13151,14,7841,738,91.6,90.3,87.5,94.9,83.2"
"Himachal Pradesh,18028,15380,0,2646,2,7116,4653,0,2463,0,39.5,30.3,0,93.1,0"
"Jammu and Kashmir,28805,23173,1,5526,105,9395,5067,1,4259,68,32.6,21.9,100,77.1,64.8"
"Jharkhand,44855,35840,1175,1559,6281,36797,30586,426,1397,4388,82,85.3,36.3,89.6,69.9"
"Karnataka,76450,49679,7110,19650,11,41366,18773,5430,17154,9,54.1,37.8,76.4,87.3,81.8"
"Kerala,16240,5010,7183,3164,883,15951,4815,7174,3114,848,98.2,96.1,99.9,98.4,96"
"Ladakh,978,838,28,112,0,441,337,9,95,0,45.1,40.2,32.1,84.8,0"
"Lakshadweep,38,38,0,0,0,38,38,0,0,0,100,100,0,0,0"
"Madhya Pradesh,125582,92695,740,30345,1802,31639,10963,289,19943,444,25.2,11.8,39.1,65.7,24.6"
"Maharashtra,109605,65639,24037,19268,661,86163,44658,22243,18602,660,78.6,68,92.5,96.8,91.1"
"Manipur,4617,2889,583,1010,135,1659,583,47,936,93,35.9,20.2,8.1,92.7,68.9"
"Meghalaya,14600,7783,4172,2120,525,2599,849,948,649,153,17.8,10.9,22.7,30.6,29.1"
"Mizoram,3911,2563,230,1034,84,2033,1061,183,731,58,52,41.4,79.6,70.7,69"
"Nagaland,2718,1960,0,757,1,1467,813,0,653,1,54,41.5,0,86.3,100"
"Odisha,62291,49072,5807,6104,1308,15870,8705,1820,4583,762,25.5,17.7,31.3,75.1,58.3"
"Puducherry,736,422,33,281,0,726,412,33,281,0,98.6,97.6,100,100,0"
"Punjab,27701,19259,450,7978,14,27574,19248,414,7903,9,99.5,99.9,92,99.1,64.3"
"Rajasthan,106373,68948,0,34826,2599,52981,24352,0,27827,802,49.8,35.3,0,79.9,30.9"
"Sikkim,1259,864,19,376,0,1116,747,14,355,0,88.6,86.5,73.7,94.4,0"
"Tamil Nadu,58801,37636,8323,12396,446,45255,29846,3883,11180,346,77,79.3,46.7,90.2,77.6"
"Telangana,43083,30023,700,12193,167,18188,8051,260,9843,34,42.2,26.8,37.1,80.7,20.4"
"Tripura,4929,4262,43,363,261,1538,1169,31,290,48,31.2,27.4,72.1,79.9,18.4"
"Uttar Pradesh,258054,137024,8113,97808,15109,66564,9880,4423,48664,3597,25.8,7.2,54.5,49.8,23.8"
"Uttarakhand,22815,16484,608,5225,498,12557,7470,461,4388,238,55,45.3,75.8,84,47.8"
"West Bengal,94744,83302,88,9750,1604,17186,13182,54,3500,450,18.1,15.8,61.4,35.9,28.1"
