state_ut,variable,value,level,category
India,total_schools_all_management,1471891,total,schools
Andaman & Nicobar Islands,total_schools_all_management,412,total,schools
Andhra Pradesh,total_schools_all_management,61373,total,schools
Arunachal Pradesh,total_schools_all_management,3490,total,schools
Assam,total_schools_all_management,56630,total,schools
Bihar,total_schools_all_management,94686,total,schools
Chandigarh,total_schools_all_management,230,total,schools
Chhattisgarh,total_schools_all_management,56615,total,schools
Dadra & Nagar Haveli and Daman & Diu,total_schools_all_management,432,total,schools
Delhi,total_schools_all_management,5497,total,schools
Goa,total_schools_all_management,1487,total,schools
Gujarat,total_schools_all_management,53626,total,schools
Haryana,total_schools_all_management,23517,total,schools
Himachal Pradesh,total_schools_all_management,18226,total,schools
Jammu & Kashmir,total_schools_all_management,24296,total,schools
Jharkhand,total_schools_all_management,44475,total,schools
Karnataka,total_schools_all_management,75869,total,schools
Kerala,total_schools_all_management,15864,total,schools
Ladakh,total_schools_all_management,995,total,schools
Lakshadweep,total_schools_all_management,37,total,schools
Madhya Pradesh,total_schools_all_management,123412,total,schools
Maharashtra,total_schools_all_management,108237,total,schools
Manipur,total_schools_all_management,4646,total,schools
Meghalaya,total_schools_all_management,14601,total,schools
Mizoram,total_schools_all_management,3941,total,schools
Nagaland,total_schools_all_management,2725,total,schools
Odisha,total_schools_all_management,61693,total,schools
Puducherry,total_schools_all_management,735,total,schools
Punjab,total_schools_all_management,27404,total,schools
Rajasthan,total_schools_all_management,107757,total,schools
Sikkim,total_schools_all_management,1254,total,schools
Tamil Nadu,total_schools_all_management,58722,total,schools
Telangana,total_schools_all_management,42906,total,schools
Tripura,total_schools_all_management,4923,total,schools
Uttar Pradesh,total_schools_all_management,255087,total,schools
Uttarakhand,total_schools_all_management,22551,total,schools
West Bengal,total_schools_all_management,93945,total,schools
India,total_schools_govt_,1017660,total,schools
Andaman & Nicobar Islands,total_schools_govt_,340,total,schools
Andhra Pradesh,total_schools_govt_,45000,total,schools
Arunachal Pradesh,total_schools_govt_,2847,total,schools
Assam,total_schools_govt_,45008,total,schools
Bihar,total_schools_govt_,78120,total,schools
Chandigarh,total_schools_govt_,119,total,schools
Chhattisgarh,total_schools_govt_,48803,total,schools
Dadra & Nagar Haveli and Daman & Diu,total_schools_govt_,360,total,schools
Delhi,total_schools_govt_,2693,total,schools
Goa,total_schools_govt_,789,total,schools
Gujarat,total_schools_govt_,34597,total,schools
Haryana,total_schools_govt_,14374,total,schools
Himachal Pradesh,total_schools_govt_,15217,total,schools
Jammu & Kashmir,total_schools_govt_,18785,total,schools
Jharkhand,total_schools_govt_,35795,total,schools
Karnataka,total_schools_govt_,49306,total,schools
Kerala,total_schools_govt_,4809,total,schools
Ladakh,total_schools_govt_,841,total,schools
Lakshadweep,total_schools_govt_,37,total,schools
Madhya Pradesh,total_schools_govt_,92439,total,schools
Maharashtra,total_schools_govt_,65157,total,schools
Manipur,total_schools_govt_,2934,total,schools
Meghalaya,total_schools_govt_,7779,total,schools
Mizoram,total_schools_govt_,2587,total,schools
Nagaland,total_schools_govt_,1952,total,schools
Odisha,total_schools_govt_,48671,total,schools
Puducherry,total_schools_govt_,420,total,schools
Punjab,total_schools_govt_,19242,total,schools
Rajasthan,total_schools_govt_,70233,total,schools
Sikkim,total_schools_govt_,864,total,schools
Tamil Nadu,total_schools_govt_,37672,total,schools
Telangana,total_schools_govt_,30022,total,schools
Tripura,total_schools_govt_,4238,total,schools
Uttar Pradesh,total_schools_govt_,137102,total,schools
Uttarakhand,total_schools_govt_,16201,total,schools
West Bengal,total_schools_govt_,82307,total,schools
India,total_schools_pvt_aided,80313,total,schools
Andaman & Nicobar Islands,total_schools_pvt_aided,2,total,schools
Andhra Pradesh,total_schools_pvt_aided,991,total,schools
Arunachal Pradesh,total_schools_pvt_aided,72,total,schools
Assam,total_schools_pvt_aided,2267,total,schools
Bihar,total_schools_pvt_aided,723,total,schools
Chandigarh,total_schools_pvt_aided,7,total,schools
Chhattisgarh,total_schools_pvt_aided,414,total,schools
Dadra & Nagar Haveli and Daman & Diu,total_schools_pvt_aided,8,total,schools
Delhi,total_schools_pvt_aided,239,total,schools
Goa,total_schools_pvt_aided,557,total,schools
Gujarat,total_schools_pvt_aided,5535,total,schools
Haryana,total_schools_pvt_aided,5,total,schools
Himachal Pradesh,total_schools_pvt_aided,0,total,schools
Jammu & Kashmir,total_schools_pvt_aided,1,total,schools
Jharkhand,total_schools_pvt_aided,1146,total,schools
Karnataka,total_schools_pvt_aided,7013,total,schools
Kerala,total_schools_pvt_aided,7162,total,schools
Ladakh,total_schools_pvt_aided,40,total,schools
Lakshadweep,total_schools_pvt_aided,0,total,schools
Madhya Pradesh,total_schools_pvt_aided,581,total,schools
Maharashtra,total_schools_pvt_aided,24173,total,schools
Manipur,total_schools_pvt_aided,584,total,schools
Meghalaya,total_schools_pvt_aided,4168,total,schools
Mizoram,total_schools_pvt_aided,230,total,schools
Nagaland,total_schools_pvt_aided,0,total,schools
Odisha,total_schools_pvt_aided,5907,total,schools
Puducherry,total_schools_pvt_aided,33,total,schools
Punjab,total_schools_pvt_aided,444,total,schools
Rajasthan,total_schools_pvt_aided,0,total,schools
Sikkim,total_schools_pvt_aided,16,total,schools
Tamil Nadu,total_schools_pvt_aided,8314,total,schools
Telangana,total_schools_pvt_aided,662,total,schools
Tripura,total_schools_pvt_aided,42,total,schools
Uttar Pradesh,total_schools_pvt_aided,8291,total,schools
Uttarakhand,total_schools_pvt_aided,614,total,schools
West Bengal,total_schools_pvt_aided,72,total,schools
India,total_schools_pvt_unaided,331108,total,schools
Andaman & Nicobar Islands,total_schools_pvt_unaided,70,total,schools
Andhra Pradesh,total_schools_pvt_unaided,15232,total,schools
