state_ut,variable,value,level,category
India,ner_foundational_pre_primary_to_class_ii_boys,37.2,ner,foundational
Andaman & Nicobar Islands,ner_foundational_pre_primary_to_class_ii_boys,61.0,ner,foundational
Andhra Pradesh,ner_foundational_pre_primary_to_class_ii_boys,42.3,ner,foundational
Arunachal Pradesh,ner_foundational_pre_primary_to_class_ii_boys,53.7,ner,foundational
Assam,ner_foundational_pre_primary_to_class_ii_boys,44.1,ner,foundational
Bihar,ner_foundational_pre_primary_to_class_ii_boys,25.1,ner,foundational
Chandigarh,ner_foundational_pre_primary_to_class_ii_boys,62.7,ner,foundational
Chhattisgarh,ner_foundational_pre_primary_to_class_ii_boys,38.8,ner,foundational
Dadra & Nagar Haveli and Daman & Diu,ner_foundational_pre_primary_to_class_ii_boys,47.0,ner,foundational
Delhi,ner_foundational_pre_primary_to_class_ii_boys,48.7,ner,foundational
Goa,ner_foundational_pre_primary_to_class_ii_boys,71.2,ner,foundational
Gujarat,ner_foundational_pre_primary_to_class_ii_boys,34.4,ner,foundational
Haryana,ner_foundational_pre_primary_to_class_ii_boys,34.4,ner,foundational
Himachal Pradesh,ner_foundational_pre_primary_to_class_ii_boys,58.5,ner,foundational
Jammu & Kashmir,ner_foundational_pre_primary_to_class_ii_boys,80.0,ner,foundational
Jharkhand,ner_foundational_pre_primary_to_class_ii_boys,32.6,ner,foundational
Karnataka,ner_foundational_pre_primary_to_class_ii_boys,46.1,ner,foundational
Kerala,ner_foundational_pre_primary_to_class_ii_boys,51.7,ner,foundational
Ladakh,ner_foundational_pre_primary_to_class_ii_boys,80.2,ner,foundational
Lakshadweep,ner_foundational_pre_primary_to_class_ii_boys,59.4,ner,foundational
Madhya Pradesh,ner_foundational_pre_primary_to_class_ii_boys,31.4,ner,foundational
Maharashtra,ner_foundational_pre_primary_to_class_ii_boys,38.9,ner,foundational
Manipur,ner_foundational_pre_primary_to_class_ii_boys,70.5,ner,foundational
Meghalaya,ner_foundational_pre_primary_to_class_ii_boys,96.8,ner,foundational
Mizoram,ner_foundational_pre_primary_to_class_ii_boys,78.8,ner,foundational
Nagaland,ner_foundational_pre_primary_to_class_ii_boys,66.6,ner,foundational
Odisha,ner_foundational_pre_primary_to_class_ii_boys,33.4,ner,foundational
Puducherry,ner_foundational_pre_primary_to_class_ii_boys,63.3,ner,foundational
Punjab,ner_foundational_pre_primary_to_class_ii_boys,67.6,ner,foundational
Rajasthan,ner_foundational_pre_primary_to_class_ii_boys,44.5,ner,foundational
Sikkim,ner_foundational_pre_primary_to_class_ii_boys,76.7,ner,foundational
Telangana,ner_foundational_pre_primary_to_class_ii_boys,51.0,ner,foundational
Tamil Nadu,ner_foundational_pre_primary_to_class_ii_boys,46.8,ner,foundational
Tripura,ner_foundational_pre_primary_to_class_ii_boys,47.6,ner,foundational
Uttar Pradesh,ner_foundational_pre_primary_to_class_ii_boys,25.4,ner,foundational
Uttarakhand,ner_foundational_pre_primary_to_class_ii_boys,44.8,ner,foundational
West Bengal,ner_foundational_pre_primary_to_class_ii_boys,52.6,ner,foundational
India,ner_foundational_pre_primary_to_class_ii_girls,38.7,ner,foundational
Andaman & Nicobar Islands,ner_foundational_pre_primary_to_class_ii_girls,59.0,ner,foundational
Andhra Pradesh,ner_foundational_pre_primary_to_class_ii_girls,41.7,ner,foundational
Arunachal Pradesh,ner_foundational_pre_primary_to_class_ii_girls,56.0,ner,foundational
Assam,ner_foundational_pre_primary_to_class_ii_girls,46.7,ner,foundational
Bihar,ner_foundational_pre_primary_to_class_ii_girls,26.8,ner,foundational
Chandigarh,ner_foundational_pre_primary_to_class_ii_girls,63.9,ner,foundational
Chhattisgarh,ner_foundational_pre_primary_to_class_ii_girls,39.0,ner,foundational
Dadra & Nagar Haveli and Daman & Diu,ner_foundational_pre_primary_to_class_ii_girls,46.1,ner,foundational
Delhi,ner_foundational_pre_primary_to_class_ii_girls,53.1,ner,foundational
Goa,ner_foundational_pre_primary_to_class_ii_girls,68.0,ner,foundational
Gujarat,ner_foundational_pre_primary_to_class_ii_girls,36.1,ner,foundational
Haryana,ner_foundational_pre_primary_to_class_ii_girls,34.9,ner,foundational
Himachal Pradesh,ner_foundational_pre_primary_to_class_ii_girls,58.5,ner,foundational
Jammu & Kashmir,ner_foundational_pre_primary_to_class_ii_girls,78.7,ner,foundational
Jharkhand,ner_foundational_pre_primary_to_class_ii_girls,32.5,ner,foundational
Karnataka,ner_foundational_pre_primary_to_class_ii_girls,46.2,ner,foundational
Kerala,ner_foundational_pre_primary_to_class_ii_girls,51.6,ner,foundational
Ladakh,ner_foundational_pre_primary_to_class_ii_girls,73.5,ner,foundational
Lakshadweep,ner_foundational_pre_primary_to_class_ii_girls,57.5,ner,foundational
Madhya Pradesh,ner_foundational_pre_primary_to_class_ii_girls,33.3,ner,foundational
Maharashtra,ner_foundational_pre_primary_to_class_ii_girls,41.5,ner,foundational
Manipur,ner_foundational_pre_primary_to_class_ii_girls,72.8,ner,foundational
Meghalaya,ner_foundational_pre_primary_to_class_ii_girls,100.0,ner,foundational
Mizoram,ner_foundational_pre_primary_to_class_ii_girls,81.9,ner,foundational
Nagaland,ner_foundational_pre_primary_to_class_ii_girls,69.4,ner,foundational
Odisha,ner_foundational_pre_primary_to_class_ii_girls,33.1,ner,foundational
Puducherry,ner_foundational_pre_primary_to_class_ii_girls,60.6,ner,foundational
